# Directed graph (each unordered pair of nodes is saved once): web-Google.txt
# Nodes: 5000 Edges: 20000
# FromNodeId	ToNodeId
4212	3193
609	476
3088	275
3979	3720
2712	3252
3948	1648
870	4176
2782	2889
2643	1747
932	2807
3420	4742
1613	3378
4076	2952
1654	2560
2944	2084
812	2363
154	1999
1305	2559
2848	2379
4506	4734
3560	2169
2229	797
2229	859
1840	3916
3676	456
4567	529
837	1917
4195	3587
4043	1249
841	3108
3081	370
1652	3452
1289	2805
4604	3739
3096	1841
616	3700
967	1081
2432	2543
4898	4503
4698	2059
1962	1991
1131	4379
2761	2853
1051	3131
956	4697
4030	2623
2290	398
3948	3095
4648	4811
1802	1438
4457	2932
3762	2295
690	1327
2098	1592
1028	165
1909	1664
939	509
3877	629
1721	3833
2698	135
2342	2558
1410	2107
3796	4614
342	1762
2723	4379
2301	4899
1468	692
2829	1323
1554	3514
3247	4064
3747	3739
3856	4191
1437	2710
277	1164
1877	1775
1285	2963
2675	2970
33	4470
3094	2987
939	110
3655	3581
855	2378
3561	1590
3057	3017
3584	1785
249	4783
796	2396
3530	3386
2742	2604
4799	3183
4757	96
1798	453
858	3778
3518	2720
466	184
432	2749
1013	2442
3369	4569
3700	2073
1594	2473
3182	57
3866	2122
3754	4320
488	2270
1500	2204
2577	1407
4755	523
1313	1671
2995	58
335	3110
4867	721
1382	3947
3867	459
82	1000
4389	492
3910	1007
580	4297
1228	1703
2377	1143
1152	119
4022	3177
4043	534
874	4756
4081	3161
162	3919
1100	4755
3859	4087
64	739
1904	4597
3157	521
3490	3370
1178	2121
625	3458
4190	3471
2138	2425
315	639
4251	4656
2809	3219
3592	665
1241	4356
4533	1784
514	1271
3790	2566
4298	1597
2078	1925
332	4779
4252	4888
4681	457
4325	3687
144	1264
2708	561
52	3872
3329	4463
886	1739
812	1606
1631	1499
1829	427
1256	1705
4336	3562
4949	3403
1448	20
745	3620
4683	4386
2159	2375
733	4992
2151	2375
1708	2013
3059	601
0	4003
4679	1343
3186	2190
73	447
572	3287
957	3711
2428	2341
2804	3580
264	4122
4420	1897
314	1477
3646	1709
3999	3780
4049	4007
2230	2429
1695	4828
2972	4378
3639	122
2372	651
3969	3041
1732	2830
4554	4982
644	1877
3625	49
3679	4475
4161	4590
2467	772
672	1699
2315	1462
4480	2013
1319	1962
679	2581
4699	541
4702	2072
4469	1775
841	2601
3414	1521
1045	1753
2000	4463
975	3664
3121	695
3548	4114
763	2330
4215	1053
3821	2746
1693	4105
3623	3952
4931	201
4698	3851
3394	2676
3494	850
1689	4463
3032	3611
1388	4154
4150	3986
503	4378
4642	3502
3244	3475
